image,model_id,model_name,status,PSNR,SSIM,MS_SSIM,LPIPS,MSE,Payload_Capacity_bpp,Secret_Recovery_Accuracy,Robustness,Inference_Time_ms,FPS,Steganalysis_Detectability,payload_bits,encode_time_ms,decode_time_ms
1,proposed,ARES-Steg-Q (Proposed),ok,73.6083,0.999999,0.999998,0.0,0.002833,0.017578,100.0,0.0,855.84,1.168,1.3918,1152,604.2168579999725,251.62168800000018
1,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,75.068,0.999999,0.999998,0.0,0.002024,0.012695,100.0,0.0,104.37,9.581,1.5064,832,48.74973599999066,55.622681000045304
1,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,73.3804,0.999999,0.999998,0.0,0.002986,0.0177,100.0,0.0,102.05,9.799,1.4253,1160,45.63437299998441,56.41633400000501
1,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,74.7625,0.999999,0.999998,0.0,0.002172,0.013062,100.0,0.0,103.81,9.633,1.5849,856,43.75071099997285,60.05636399999048
1,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,74.554,0.999999,0.999998,0.0,0.002279,0.012817,100.0,0.0,100.65,9.936,1.6508,840,44.3271999999979,56.32087300000421
1,paper_model_05,Zhang ISS Multi-Image (2025),ok,75.1673,0.999999,0.999999,0.0,0.001979,0.012817,100.0,0.0,98.08,10.195,1.4444,840,42.706829999985985,55.377888000009534
2,proposed,ARES-Steg-Q (Proposed),ok,73.4251,0.999999,0.999999,0.0,0.002955,0.017578,100.0,0.0,820.42,1.219,1.548,1152,564.3236250000427,256.0935650000147
2,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,74.662,0.999999,0.999999,0.0,0.002223,0.012695,100.0,0.0,120.8,8.278,1.7829,832,65.96165500002371,54.83579200000577
2,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,73.4777,0.999999,0.999999,0.0,0.00292,0.0177,100.0,0.0,98.12,10.191,1.5057,1160,44.23506199998428,53.88645599998654
2,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,75.0571,0.999999,0.999999,0.0,0.002029,0.013062,100.0,0.0,99.1,10.091,1.4369,856,44.94304600001442,54.1573770000241
2,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,74.6126,0.999999,0.999999,0.0,0.002248,0.012817,100.0,0.0,97.23,10.284,1.7103,840,43.02764499999512,54.206648999979734
2,paper_model_05,Zhang ISS Multi-Image (2025),ok,75.0246,0.999999,0.999999,0.0,0.002045,0.012817,100.0,0.0,102.28,9.777,1.4167,840,44.85691299998962,57.4277090000237
3,proposed,ARES-Steg-Q (Proposed),ok,73.5927,0.999998,0.999998,0.0,0.002843,0.017578,100.0,0.0,813.26,1.23,1.5162,1152,563.0345399999896,250.22522200004005
3,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,75.3731,0.999999,0.999999,0.0,0.001887,0.012695,100.0,0.0,104.27,9.591,1.3502,832,47.50603600001568,56.761526000002505
3,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,73.4551,0.999998,0.999997,0.0,0.002935,0.0177,100.0,0.0,101.69,9.833,1.4368,1160,44.50678500001004,57.187682999995104
3,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,74.8655,0.999999,0.999998,0.0,0.002121,0.013062,100.0,0.0,111.76,8.947,1.4603,856,47.9750430000081,63.789369000005536
3,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,74.8863,0.999999,0.999998,0.0,0.002111,0.012817,100.0,0.0,99.01,10.1,1.4603,840,43.87909500002252,55.12742899998102
3,paper_model_05,Zhang ISS Multi-Image (2025),ok,74.8034,0.999999,0.999998,0.0,0.002151,0.012817,100.0,0.0,116.84,8.558,1.5,840,44.18997999999874,72.65393300002643
4,proposed,ARES-Steg-Q (Proposed),ok,73.3144,0.999998,0.999998,0.0,0.003031,0.017578,100.0,0.0,839.52,1.191,1.522,1152,571.2182529999836,268.3048520000284
4,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,74.8863,0.999999,0.999998,0.0,0.002111,0.012695,100.0,0.0,109.41,9.14,1.5585,832,49.65997800002242,59.75348500004429
4,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,73.4701,0.999998,0.999997,0.0,0.002925,0.0177,100.0,0.0,98.41,10.161,1.4684,1160,44.11493899999641,54.29984500000273
4,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,74.9284,0.999999,0.999998,0.0,0.00209,0.013062,100.0,0.0,101.62,9.841,1.4836,856,43.50274700004775,58.114869999997154
4,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,75.0246,0.999999,0.999998,0.0,0.002045,0.012817,100.0,0.0,99.34,10.067,1.4643,840,43.6746229999585,55.66307100002632
4,paper_model_05,Zhang ISS Multi-Image (2025),ok,74.9709,0.999999,0.999998,0.0,0.00207,0.012817,100.0,0.0,101.86,9.818,1.7421,840,43.42906099998345,58.42831699999351
5,proposed,ARES-Steg-Q (Proposed),ok,73.4777,0.999998,0.999997,0.0,0.00292,0.017578,100.0,0.0,849.7,1.177,1.4468,1152,575.1606040000183,274.5371759999671
5,paper_model_01,Kanimozhi RNN+Fuzzy (2025),ok,74.8863,0.999999,0.999997,0.0,0.002111,0.012695,100.0,0.0,120.58,8.293,1.6306,832,65.36315400001058,55.214091000038934
5,paper_model_02,Sanjalawe Huffman+LSB+DL (2025),ok,73.44,0.999998,0.999996,0.0,0.002945,0.0177,100.0,0.0,128.18,7.801,1.5345,1160,53.22888499995315,74.95331000001215
5,paper_model_03,Rahman LSB+MagicMatrix (2025),ok,74.672,0.999999,0.999997,0.0,0.002218,0.013062,100.0,0.0,98.65,10.137,1.5732,856,43.92702599994891,54.7204670000383
5,paper_model_04,Aljarf DL-Steg ECC+SAE (2025),ok,74.8034,0.999999,0.999998,0.0,0.002151,0.012817,100.0,0.0,106.25,9.412,1.5357,840,46.60607900001423,59.64369100001932
5,paper_model_05,Zhang ISS Multi-Image (2025),ok,74.824,0.999999,0.999997,0.0,0.002141,0.012817,100.0,0.0,114.22,8.755,1.4603,840,49.995969000008245,64.22213999996984
